,title,paragraph,news_list,event_timestamp
18,israel undergoing fifth covid wave mull adding u omicron red list,israel undergoing fifth covid wave due omicron variant pm naftali bennett said sunday health ministry also recommended country add u list red country citizen fly without special permission,Environmental,2021-12-20T11:35:00Z
19,singapore economy face multiple threat growth slows,global spread omicron variant rekindled concern restriction far government staying course reopening,Supplier Market,2021-12-20T11:28:00Z
20,minister reportedly resisting call new restriction christmas,total confirmed case omicron variant across uk reached,Environmental,2021-12-20T11:28:00Z
21,omicron concern fii outflow pull rupee lower,concern new omicron covid variant well continued foreign fund outflow keep indian rupee subdued upcoming week expert opined besides high yoy trade deficit along new u tapering measure hamper appreciation move however downside capped lower oil price along probable rbi intervention,Supplier Market,2021-12-20T11:27:00Z
22,omicron delay return normalcy,omicron delay return normalcy,Commodities,2021-12-20T11:25:00Z
23,omicron case india state reported new covid variant,omicron india total state union territory registered case omicron past day maharashtra reported number case omicron variant covid india,Commodities,2021-12-20T11:24:00Z
24,omicron fear ignite market selloff trader clear book,bloomberg investor wrapping year trading threat new lockdown sent shock wave market across world read bloombergsouth africa hospitalization rate plunge omicron wavebiden issue stark warning vaccination amid covid surgestocks future sink manchin shock virus market wrapeurope brace covid lockdown uk case surgeengland hundred thousand new omicron case dailyus stock index future fell,Commodities,2021-12-20T11:21:00Z
25,global marketsequities oil price skid omicron threatens growth,globalmarkets wrapup pixglobal marketsequities oil price skid omicron threatens growth,Supplier Market,2021-12-20T11:20:00Z
26,europe brace covid lockdown uk case surge,europe racing fight surge covid infection spread omicron variant country considering additional restriction would disrupt christmas new year holiday,Delays,2021-12-20T11:17:00Z
27,soyabean plunge ncdex sebi ban future option trade,crude trader lower omicron fear resurface,Supplier Market,2021-12-20T11:15:00Z
28,u could store grim beginning new year expert warn dual variant covid spread,delta omicron coronavirus variant spreading across nation new year approach health expert urging american get vaccinated boosted protect others face greater chance infection,Environmental,2021-12-20T11:15:00Z
29,omicron india live update moderna covid vaccine booster dose protects omicron,omicron india live update according central state official omicron case detected state union territory india,Commodities,2021-12-20T11:10:00Z
30,omicron pandemic silver lining,omicron far heavily mutated variant covid date course dethrone delta dominant strain since strain first detected korea dec variant found case recent travel history rest close indirect contact community transmission public health authority say probably already underway understand,Commodities,2021-12-20T11:06:00Z
31,telangana cm k chandrasekhar rao allays fear omicron hyderabad news time india,chief minister k chandrasekhar rao said need panic spike omicron case state stressed pandemic situation,Financial Health,2021-12-20T11:04:00Z
32,mideast stock factor watch december,equity oil price sink omicron make wave zawya mena edition,Supplier Market,2021-12-20T11:04:00Z
33,kerala report omicron case new variant tally,four new case omicron variant coronavirus detected kerala monday taking overall tally state health department said,Delays,2021-12-20T10:59:00Z
34,brent crude tumble bearish headwind mount,infection rising u europe authority struggle tame omicron,Commodities,2021-12-20T10:57:00Z
35,farewell transitory market heed central bank inflation call,bloomberg end swept away idea surging inflation transitory setting stage market game pace central bank tightening next yearmost read bloombergsouth africa hospitalization rate plunge omicron wavebiden issue stark warning vaccination amid covid surgestocks future sink virus manchin shock market wrapeurope brace covid lockdown uk case surgeengland hundred thousand new omicron case dailya strin,Delays,2021-12-20T10:52:00Z
36,doctor warns there tsunami coming unvaccinated people,dr jonathan reiner urge people get covid vaccine omicron variant spread around world,Environmental,2021-12-20T10:50:00Z
37,china find imported omicron case changsha covid outbreak grows,provincial capital hunan latest guangdong tianjin report omicron case read straitstimescom,Commodities,2021-12-20T10:48:00Z
38,twitter shanghaieye omicron,paris canceled planned firework well festivity champ elysees avenue newyears eve line new government rule prevent spread omicron coronavirus variant,Commodities,2021-12-20T10:47:28Z
39,health service need stresstested ekathimerinicom,slide international stock market recent omicron variant covid discovered clear indicator interdependent relationship health global economy,Supplier Market,2021-12-20T10:41:00Z
40,rouble hit near week low oil omicron weigh,russian rouble fell near twoweek low monday pressure falling oil price global concern omicron coronavirus variant simmering eastwest tension ukraine,Compliance,2021-12-20T10:29:00Z
41,u senator elizabeth warren announces breakthrough covid infection,country top infectious disease expert anthony fauci warned omicron going take u winter urging american get fully vaccinated boosted,Delays,2021-12-20T10:21:00Z
42,covid israel ban travel u omicron concern,israel logged confirmed omicron case another suspected case,Commodities,2021-12-20T10:16:00Z
43,sinopharm covid booster weaker omicron study,covid booster shot produced china sinopharm significantly lower neutralising activity omicron variant chinese researcher said paper although added vaccine efficacy omicron remained unclear,Commodities,2021-12-20T09:59:00Z
44,investor poorer lakh crore two day heavy market selloff,due rising concern around omicron investor become poorer lakh crore two day heavy market selloff,Financial Health,2021-12-20T09:56:00Z
45,omicron coronavirus india live delhi karnataka kerala report omicron case,covid india live news new omicron variant case india coronavirus rd wave latest update live december india recorded new covid case death last hour,Delays,2021-12-20T09:51:00Z
46,retail spending defies omicron jitter,omicron variant outbreak yet noticeably bite retail spending according new bank card data anecdotal evidence shop,Delays,2021-12-20T09:51:00Z
47,asx felled omicron start xmas week,asx investor feeling little charity start christmas week talk omicron restriction affected outlook trade share slipped,Financial Health,2021-12-20T09:47:00Z
48,omicron raging world fauci,u health official urged american get booster shot wear mask careful travel winter holiday omicron variant rag,Environmental,2021-12-20T09:46:00Z
49,asia stock oil suffer omicron spread,asian share market fallen oil price dropped surging omicron case triggered tighter restriction europe threatened drag global,Supplier Market,2021-12-20T09:33:00Z
50,omicron scare top immunologist explain vaccine fail stop new variant spread,omicron variant update covid vaccine developed original strain coronavirus help produce antibody effective original strain said expert failure vaccine stop new covid variant,Financial Health,2021-12-20T09:29:00Z
51,netherlands go christmas lockdown omicron covid wave bbc news,netherlands go christmas lockdown omicron covid wave bbc news oakland news sf bay area east bay california world,Environmental,2021-12-20T09:28:00Z
52,forexdollar shine euro sag omicron spread fed hawk circle,globalforexforexdollar shine euro sag omicron spread fed hawk circle,Compliance,2021-12-20T09:27:00Z
53,stock market falling sharply today,two week straight decline indian stock market began monday fresh bout selloff triggered rising spread omicron infection around,Supplier Market,2021-12-20T09:26:00Z
54,case yet expected omicron,wilkes remains among county high covid transmission level due delta variant health expert expect largest surge case yet statewide new omicron variant,Environmental,2021-12-20T09:21:00Z
55,apostidal waveapos omicron could put u covid surge overdrive medium news,tehran tasnim two year coronavirus pandemic united state confronting another dark winter redhot omicron variant threatening worsen already dangerous surge case,Environmental,2021-12-20T09:18:00Z
56,covid scotland call restriction circuit breaker lockdown ruled england,restriction needed curb spread omicron scotland senior nh figure said,Commodities,2021-12-20T09:18:00Z
57,new u push vaccine booster stem raging omicron,healthcoronavirususafauci update pix tvupdate new u push vaccine booster stem raging omicron,Commodities,2021-12-20T09:14:00Z
58,support pizzaisnotworking walkout pharmacy worker trillion public health pandemic profiteering,action taken pharmacist u early sign new phase growth workingclass resistance driven deadly winter surge emergence hyperinfectious omicron variant,Delays,2021-12-20T09:12:00Z
59,open house step taken prevent spread omicron,prevention better cure new virus omicron originated south africa fact european country america able help african country vaccine dos,Commodities,2021-12-20T09:07:00Z
60,sensex today stock market live update sensex plunge point amid omicron fear nifty,market plunged lowest nearly month raging global omicron infection threatened derail economic recovery besides continuous selling foreign institutional investor fiis also dented investor sentiment stay toi latest update,Supplier Market,2021-12-20T09:03:00Z
61,race time omicron ekathimerinicom,government immediate priority delay extent feasible spread omicron variant coronavirus,Delays,2021-12-20T08:48:00Z
62,european market plunge omicron worry intensify stoxx,european market plunged monday morning rapid spread omicron covid variant trigger stricter containment measure continent,Financial Health,2021-12-20T08:41:00Z
63,holiday traveling pick amid omicron variant spread,fast spread omicron variant isnt slowing holiday travel,Commodities,2021-12-20T08:40:00Z
64,deal activity travel tourism rose almost last month,sentiment may dented omicron coming month,Compliance,2021-12-20T08:35:00Z
65,intel warns chip shortage continuing,omicron variant spread rapidly around globe hope quick end pandemic fade rearview mirror hope quick end widespread chip supply shortage intel ceo pat gelsinger interview nikkei asia stated doesnxt expect ongoing chip shortage ease plan new gaming rig might delayed even longergelsingerxs comment came south east asia business trip intel announced b investment expand manufacturing malaysia teased even intel investment come saying quoti expect announce next major u site next major european site near future wellquot itxs good see major semiconductor manufacturer taking huge profit investing world buffer protect future supply shocksthe problem facility donxt spring overnight gelsinger said additional manufacturing capacity take least three year yield result intelxs previously announced expansion usa israel ireland still long way beginning production,Delays,2021-12-20T08:34:00Z
66,everything nicola sturgeon said omicron confirmed dominant variant,nicola sturgeon spoke government briefing today december due sharp rise omicron case come yesterday covid statistic recordbreaking case reported making highest daily figure since pandemic began,Environmental,2021-12-20T08:34:00Z
67,bengaluru buzz new year restriction likely ac bus fare reducedand,number omicron case increase advisory committee covid recommended restricted new year celebration read news roundup,Commodities,2021-12-20T08:33:00Z
68,omicron variant may sideline two leading drug covid,washington ap strained u hospital brace new surge covid case caused fastspreading omicron variant doctor warning yet,Commodities,2021-12-20T08:33:00Z
69,copper decline market sentiment take hit omicron worry weigh,copper downslide early monday amid deterioration market sentiment omicron infection continue climb higher across key,Commodities,2021-12-20T08:32:00Z
70,covid rule may tightened christmas omicron case surge,tougher restriction may reportedly soon introduced face rapidlyspreading omicron variant expert warned likely,Environmental,2021-12-20T08:29:00Z
71,parliament live election law bill link voter id aadhar proposed lok sabha,breaking news live december live blog brings latest breaking news upcoming poll detail covid variant omicron news around,Financial Health,2021-12-20T08:23:00Z
72,european border closed briton slow spread covid omicron variant,british traveller likely caught crossfire european disarray measure slow spread omicron variantberlin banned brito,Compliance,2021-12-20T08:22:00Z
73,asia stock oil price suffer omicron spread latest tweet reuters,latest tweet reuters state asia stock oil price suffer omicron spread asia stock oil price suffer omicron spread latest tweet reuters,Supplier Market,2021-12-20T08:22:00Z
74,marketmind omicron christmas reuters,marketmind omicron christmas,Commodities,2021-12-20T08:16:00Z
75,omicron spread sitting duck next wave covid say expert,delta variant still dominant strain united state omicron way dethrone claim position heavily mutated variant shown early data worrying resistance vaccine higher transmissibility world news,Commodities,2021-12-20T08:14:00Z
76,forexdollar shine euro droop omicron spread fed hawk circle,globalforexforexdollar shine euro droop omicron spread fed hawk circle,Compliance,2021-12-20T08:09:00Z
77,live national cabinet hold emergency meeting wednesday,national cabinet convened wednesday emergency meeting omicron variant previously scheduled next convene february follow live,Compliance,2021-12-20T08:03:00Z
78,old covid infection wont save omicron,scientist working around clock get better understanding omicron variant thing need know stop fourth wave,Environmental,2021-12-20T07:55:00Z
79,coronavirus booster shot amid new emerging variant need variantspecific booster shot,growing evidence suggests new coronavirus variant omicron highly transmissible infectious sudden surge number covid case around world proof enough suggest,Delays,2021-12-20T07:50:00Z
80,ti season new variant introduction quickly omicron spreading sa,omicron variant identified south africa end november quickly begun dominate new infection country here data tell u far quickly omicron spread truly understanding variant take time,Commodities,2021-12-20T07:29:00Z
81,omicron scare fpi selloff here spooked market monday,read omicron scare fpi selloff here spooked market monday business standard analyst expect downtrend arrested soon steep correction lead value buying lower level,Financial Health,2021-12-20T07:25:00Z
82,u fed chief worried wage push coming year,head u central bank jerome powell said major threat economy omicron variant briskly rising wage could continue,Compliance,2021-12-20T07:22:00Z
83,resident express travel concern amid spread omicron variant,rapid spread omicron variant giving people region flashback start pandemic telemundo alberto pimienta brings,Commodities,2021-12-20T07:13:00Z
84,stressed hospital weary nurse brace another covid winter surge,covid case rise hospital prepare omicrondriven winter surge even attempt hire nurse staff,Environmental,2021-12-20T07:08:00Z
85,covid omicron dominant variant ireland,ireland chief medical officer say took le two week omicron become dominant,Commodities,2021-12-20T07:05:00Z
86,covid extra restriction needed within day stop hospital overwhelmed omicron govt scientist warn,fresh restriction could see ban household mixing reintroduced help country deal surge omicron infection,Supplier Market,2021-12-20T07:03:00Z
87,omicron ireland imposes curfew israel put u fly list london eye restriction,country world reacting rising covid number omicron variant swiftly becoming dominant strain,Commodities,2021-12-20T06:50:00Z
88,pitzer mandate booster shot response new variant,pitzer college require student get booster shot negative pcr test returning spring semester citing rise omicron variant source concern,Commodities,2021-12-20T06:47:00Z
89,omicron variant found kentucky,gov andy beshear urged rigorous masking school workplace setting testing confirmed fastspreading covid omicron variant multiple,Commodities,2021-12-20T06:46:00Z
90,market hold firm heading christmas recess,wool market weathered omicron storm fairly well since november,Commodities,2021-12-20T06:07:00Z
91,fauci say omicron variant raging around world,white house top medical adviser say covid omicron variant raging around world,Commodities,2021-12-20T05:55:00Z
92,think youre fully vaccinated omicron changing mean,omicron infects many people whove two shot cdc college state nfl discussing mean fully vaccinated,Environmental,2021-12-20T05:54:00Z
93,covid outbreak resulted bleak strange memorable night snl history,host paul rudd gueststars tom hank tina fey cast member kenan thompson michael che performer appear camera last night omicron variant disrupted saturday night life christmas show plan hour airtime,Financial Health,2021-12-20T05:44:00Z
94,covid news live uk omicron case jump another infection recorded,coronavirus latest sage warns restriction needed within day tougher measure could imposed boxing day omicron case uk increase netherlands go lockdown,Commodities,2021-12-20T05:43:00Z
95,market weakness expected short term key thing know opening bell,case omicron variant rising sharply many country started take kind restriction measure also hurting market sentiment fiis behavior play critical role direction market,Financial Health,2021-12-20T05:40:00Z
96,new case omicron variant india push national tally,friday new omicron case country tally thursday tuesday wednesday case latest news india,Commodities,2021-12-20T05:35:00Z
97,omicron variant india live update india report new covid case lowest since may,india omicron tally crossed mark sunday stood fresh case reported two state six maharashtra four gujarat stay latest update,Financial Health,2021-12-20T05:30:00Z
98,covid news live omicron raging around world fauci say belgian protest turn violent,omicron extraordinary spreading capability promise bring bleak winter anthony fauci warns belgian police break protest march covid measure,Delays,2021-12-20T05:17:00Z
99,global marketsequities oil price sink omicron make wave,globalmarkets wrapup pixglobal marketsequities oil price sink omicron make wave,Environmental,2021-12-20T05:15:00Z
100,fauci say omicron variant raging around world,white house top medical adviser say covid omicron variant raging around world,Commodities,2021-12-20T05:15:00Z
101,fauci say omicron variant raging around world,white house top medical adviser say covid omicron variant raging around world,Commodities,2021-12-20T05:15:00Z
102,keep holiday gathering safe omicron take hold news,public health measure place reduce spread transmission covid strain washing hand wearing mask limiting gathering introduction new omicron variant created greater urgency follow,Commodities,2021-12-20T05:02:00Z
103,hawk run riot defying omicron assault growth,federal reserve appears dialled hawkish tone even fastspreading omicron strain clouding global economic outlook,Compliance,2021-12-20T05:02:00Z
104,sequencing test underway wrestling team,health officer monitor outbreak omicron variant,Financial Health,2021-12-20T05:00:00Z
105,global marketsasia stock oil price suffer omicron spread,globalmarkets wrapup pixglobal marketsasia stock oil price suffer omicron spread,Supplier Market,2021-12-20T04:50:00Z
106,fauci urge american stay prudent omicron something reckoned,dr anthony fauci said sunday abc week omicron variant overtaken covid mutation something reckoned,Commodities,2021-12-20T04:45:00Z
107,exhausted houston doctor nurse brace hospital strain omicron case surge,houston methodist hospital report omicron rapidly jumped covid patient latest report,Environmental,2021-12-20T04:41:00Z
108,risk trade slump open week forexlive,omicron spread fear taking back seat news manchin said bidens big fiscal support package,Compliance,2021-12-20T04:37:00Z
109,omicron variant spreading holiday travel winter surge kick,covid omicron variant raging around world white house top medical adviser dr anthony fauci said sunday,Environmental,2021-12-20T04:37:00Z
110,sydney airport passenger traffic rise november argus medium,passenger traffic australia busiest airport sydney rose november subdued level october increase may prove temporary spread covid omicron variant prompting tightening domestic international air travel,Environmental,2021-12-20T04:29:00Z
111,brent crude extends decline bearish headwind mounting,oil extended decline rapid spread omicron variant virus increased concern outlook energy demand,Supplier Market,2021-12-20T04:25:00Z
112,covid case rise omicron loom illinois medical worker express frustration,illinois hospital face another surge covid patient threat omicron variant looming burnedout health care worker pleading,Environmental,2021-12-20T04:23:00Z
113,amid rise omicron business ease returntowork policy,nobody tell silicon valley wall street bigwig except course fastspreading covid omicron variant,Commodities,2021-12-20T03:53:00Z
114,omicron variant confirmed nwt news,omicron variant detected passenger westjet flight dec,Commodities,2021-12-20T03:53:00Z
115,expert say sitting duck next wave covid,new wave covid could hit u omicron variant making worse,Environmental,2021-12-20T03:51:00Z
116,february community event cambodia month infected case death imported case omicron khmer time,sunday dr vandine secretary state ministry health chairwoman national adhoc commission covid vaccination predicted year omicron travelling around world including cambodia,Commodities,2021-12-20T03:45:00Z
117,uk health minister doesnt rule new covid restriction christmas,london britain health minister sajid javid declined sunday rule chance covid restriction christmas saying spread omicron variant fast moving situation britain reported surge case omicron coronavirus variant saturday government adviser said could tip iceberg london mayor,Commodities,2021-12-20T03:40:00Z
118,vermont confirms first case omicron variant,health official vermont confirmed state first case omicron variant covid virus omicron variant detected,Financial Health,2021-12-20T03:33:00Z
119,fundamental trend driving energy natural resource industry remain resilient say woodmac,rapid rise omicron variant covid virus cast shadow outlook dashing hope confidence steady progress pandemic,Commodities,2021-12-20T03:26:00Z
120,covid new community case nine new case omicron variant miq,new case covid community today nine case omicron variant international arrival,Delays,2021-12-20T03:26:00Z
121,precious metal losing sheen,depite world health organisation description omicron phenomenon mild usa europe grip panic,Financial Health,2021-12-20T03:24:00Z
122,two leading covid drug may work omicron variant,antibody drug regeneron eli lilly goto treatment early covid omicron variant may push drug sideline,Financial Health,2021-12-20T03:21:00Z
123,equity oil price sink omicron make wave reuters,equity oil price sink omicron make wave,Supplier Market,2021-12-20T03:10:00Z
124,oil trading lower sunday evening u time monday asia time forexlive,concern course surrounding continued mounting omicronvariant covid case around globe associated movement restriction,Commodities,2021-12-20T03:05:00Z
125,covid stanford live update,covid pandemic grip country yet stanford daily staff keeping informed omicron stanford santa clara county,Environmental,2021-12-20T03:02:00Z
126,crude oil lower omicron fear result negative week investingcom,crude oil lower omicron fear result negative week,Commodities,2021-12-20T03:02:00Z
127,little late football go two week circuitbreaker lockdown discussed,scot urged take greatest care day christmas yesterday amid rising alarm spread omicron,Commodities,2021-12-20T03:01:00Z
128,omicron detected country case doubling fast,world health organization say number covid case involving omicron doubling every three day country community transmission variant people infected abroad,Commodities,2021-12-20T02:59:00Z
129,israeli pm say kid must vaccinated omicron spread,israel prime minister calling parent vaccinate child coronavirus new omicron variant showed sign spreading,Commodities,2021-12-20T02:58:00Z
130,twitter pdchina omicron,omicron ability spread extraordinary variant case appear doubling u every three day daily mail reported citing top u scientist anthony fauci,Environmental,2021-12-20T02:55:00Z
131,weekend news story dont want miss,sonoma county first case omicron variant house speaker nancy pelosis visit santa rosa dont miss local news story,Financial Health,2021-12-20T02:54:00Z
132,covid five new omicron case miq people hospital,five omicron case detected border new community case delta outbreak,Delays,2021-12-20T02:53:00Z
133,oil price drop rapid omicron spread dims fuel demand outlook,jessica jaganathan singapore reuters oil price slumped early monday surging case omicron coronavirus variant euro,Supplier Market,2021-12-20T02:52:00Z
134,making sense omicron spread,nprs sacha pfeiffer speaks dr eric topol latest omicron development worry surge winter,Environmental,2021-12-20T02:49:00Z
135,omicron coronavirus variant confirmed iowa resident,number confirmed case highly transmissible omicron variant coronavirus increased iowa,Environmental,2021-12-20T02:47:00Z
136,queensland announces new covid case omicron variant take hold,premier annastacia palaszczuk announced queensland new case covid omicron variant take hold state,Delays,2021-12-20T02:31:00Z
137,boris johnson considering limit christmas mixing ordering new lockdown,boris johnson reportedly handed three option tackling spread omicron including plan limit household mixing christmas introduce pm curfew pub restaurant,Environmental,2021-12-20T02:30:00Z
138,indiana department health report first omicron variant covid case,indiana department health announced sunday detected omicron variant covid,Commodities,2021-12-20T02:23:00Z
139,could pandemic still end omicron surge rewriting plan,omicron variant gain momentum canada united state europe scientist rewriting expectation covid pandemic next year,Environmental,2021-12-20T02:22:00Z
140,oil fall week omicron tightening fed sour sentiment,bloomberg oil posted weekly decline volatile day saw trader grow concerned demand impact omicron variant tighter monetary policymost read bloombergsouth africa hospitalization rate plunge omicron wavebiden issue stark warning vaccination amid covid surgeengland hundred thousand new omicron case dailyvaccine data gap point million u lack shotsthe fiveday office week isnt coming back wfh,Commodities,2021-12-20T02:19:00Z
141,covid nine new omicron case miq hospital virus,nine new case omicron variant detected border new community case delta outbreak,Delays,2021-12-20T02:12:00Z
142,asx open lower following broad loss wall street amid omicron fear,australian share slide early trade following loss wall street worry surrounding omicron coronavirus variant persist,Supplier Market,2021-12-20T01:44:00Z
143,crunching covid number delta omicron variant send virus case skyrocketing manhattan see shocking surge,latest wave covid case sparked delta omicron variant constitutes tsunami infection crashing upon new york city le,Environmental,2021-12-20T01:41:00Z
144,europe turbulent energy market winter mercy,everyone may back watching daily number coronavirus case omicron variant spread europe energy market focusing traditional gauge worry temperature,Environmental,2021-12-20T01:36:00Z
145,covid live update new york city weighs fate new year eve celebration,dr anthony fauci warned omicron variant would cause another virus surge several nba nhl game postponed,Environmental,2021-12-20T01:33:00Z
146,learn coexist covid omicron variant,feel like every time think close done covid nature ups game new variant new omicron variant detected sacramento county important start looking covid,Commodities,2021-12-20T01:30:00Z
147,iran detects first case omicron variant,tehran iran detected first case infection new omicron variant coronavirus state tv reported sunday announcement come variant spread around globe le month scientist alerted world health organization concerninglooking version iran vaccinated percent population roughly million,Environmental,2021-12-20T01:29:00Z
148,spread omicron creates double whammy pressure scotland nh,impact rapidlyspreading omicron variant nh staffing level huge worry senior medic said,Compliance,2021-12-20T01:20:00Z
149,covid hit europe school hard omicron stalk newyear return,bloomberg parent facing dreaded prospect school closure across europe wave virus infection hit young omicron variant ramp concern government accelerating vaccination try head economic pain,Delays,2021-12-20T01:20:00Z
150,high asx travel share fly,travel share soar sink new year australia try figure omicron covid variant,Financial Health,2021-12-20T01:19:00Z
151,omicron threat loom winter holiday europe u,netherlands went lockdown sunday possibility covid restriction imposed ahead christmas new year holiday loomed several european country omicron variant spread rapidly,Environmental,2021-12-20T01:18:00Z
152,thousand brussels protest covid restriction,third demonstration protester belgian government imposes tighter restriction try halt spread omicron variant,Delays,2021-12-20T01:13:00Z
153,wall street end negative week,wall street finished week lower weighed big tech investor worried omicron coronavirus variant digested federal reserve,Financial Health,2021-12-20T01:12:00Z
154,omicron scramble anew u firm inperson aspiration,major u company reassess returntooffice plan getting tough vaccine mask requirement omicron covid variant look set extend pandemicinduced workfromhome culture,Compliance,2021-12-20T01:11:00Z
155,omicron infection reach seven,latest report confirm seven infection omicron coronavirus poland deputy health minister said sunday,Delays,2021-12-20T01:11:00Z
156,new york surpasses death covid pandemic,cdc report death new york state crossing mark last week amid flareup covid case new highly contagious omicron strain,Environmental,2021-12-20T01:11:00Z
157,omicron variant likely bring spike covid case hospitalization official warn,los angeles responding new alarm worsening covid condition health official offered troubling forecast increased hospitalization spread new omicron variant,Delays,2021-12-20T01:07:00Z
158,number omicron reported three nc county local tricounty region transmissibility high,southeastern nc since first case omicron disclosed mecklenburg county week ago reported across north carolina saturday,Commodities,2021-12-20T01:02:00Z
159,europe give u gloomy portrait whats come omicron,omicron variant batter europe exponentially skyrocketing covid case public health expert warn u could barreling path face record wave infection coming day week,Delays,2021-12-20T01:01:00Z
160,covid test required traveler crossing canada border,canadian government made move omicron variant,Compliance,2021-12-20T01:01:00Z
161,elizabeth warren cory booker test positive covid amid u omicron surge,massachusetts senator announces result twitter fauci say omicron raging world,Commodities,2021-12-20T00:57:00Z
162,britain case spike week dominated omicron,britain reported weekly increase covid case three week new variant omicron first reported le one month ago south africa,Compliance,2021-12-20T00:52:00Z
163,omicron inferior variant covid worst soon,infectious disease physician professor peter collignon said omicron doesnt seem worse severity disease case number would go stabilise australia coming week,Commodities,2021-12-20T00:43:00Z
164,uk health bos covid rule could tighten christmas,britain health secretary refused rule imposing tougher covid restriction christmas amid rapid rise infection continuing uncertainty omicron variant,Delays,2021-12-20T00:33:00Z
165,omicron pushing delhi covid graph here aiims prof say,delhi far reported case omicron variant daily covid count rising last day,Commodities,2021-12-20T00:26:00Z
166,hogan rule lockdown maryland omicron variant cause covid spike,maryland gov larry hogan ruled imposing new lockdown measure sunday omicron variant cause resurgence coronavirus case,Financial Health,2021-12-20T00:05:00Z
167,tidal wave omicron could put u covid surge overdrive,omicron variant appears far transmissible previous iteration virus according early study,Environmental,2021-12-19T23:54:00Z
168,covid news omicron serious manageable precaution taken former cdc director say,omicron variant begin take hold across u former director cdc saying situation serious managed,Environmental,2021-12-19T23:49:00Z
169,omicron surging rapidly seattle area projection show huge spike within week,omicron covid variant surging seattle area speed potential overwhelm health care system disrupt workplace,Delays,2021-12-19T23:47:00Z
170,indiana first omicron variant case detected unvaccinated resident,indiana one seven state omicron variant yet detected according news release state health department,Environmental,2021-12-19T23:38:00Z
171,maharashtra report six omicron case state tally,maharashtra reported six case omicron variant covid,Commodities,2021-12-19T23:32:00Z
172,third american eligible booster got one,thats problem first two shot effective stopping spread omicron,Commodities,2021-12-19T23:27:00Z
173,omicron might milder poised overwhelm hospital,worst day pandemic may ahead hospital treating wave patient omicron variant,Environmental,2021-12-19T23:26:00Z
174,omicron variant may hinder leading drug covid,rapidlyspreading omicron variant may soon leave u doctor without two standard treatment theyve used fight covid,Environmental,2021-12-19T23:25:00Z
